Package Name,Source,Declared Install-time,Declared Runtime,Droidbot Install-time,Droidbot Runtime,(0) Install-time Normal,(1) IND,(0) Runtime Normal,(1) RND,(2) NR,(3) RNDNR,(1) IND Permissions,(1) RND Permissions,(2) NR Permissions,(3) RNDNR Permissions,MinVersion,TargetVersion
ai.zuoye.shijuanbao,360,5,3,3,3,2,1,2,0,0,1,['ACCESS_WIFI_STATE'],,,['READ_PHONE_STATE'],-1,-1
caoih.fqohnc.uhgq,360,5,3,4,0,3,1,0,0,0,0,['GET_TASKS'],,,,-1,-1
cn.eagri.measurement,360,14,8,13,1,12,1,0,0,1,0,['GET_TASKS'],,['READ_PHONE_STATE'],,-1,-1
cn.kuwo.tingshu,360,20,6,7,1,7,0,0,0,1,0,,,['READ_PHONE_STATE'],,-1,-1
cn.xiaochuankeji.tieba,360,25,7,22,2,22,0,1,0,1,0,,,['READ_PHONE_STATE'],,-1,-1
com.airbnb.android,360,20,10,7,0,6,1,0,0,0,0,['com.google.android.gms.permission.ACTIVITY_RECOGNITION'],,,,-1,-1
com.alibaba.wireless,360,26,9,7,1,7,0,0,0,1,0,,,['READ_PHONE_STATE'],,-1,-1
com.android.jianying,360,5,5,2,1,2,0,0,0,1,0,,,['READ_PHONE_STATE'],,-1,-1
com.appsino.bingluo.fyczzj,360,19,9,5,2,5,0,1,0,1,0,,,['READ_PHONE_STATE'],,-1,-1
com.babycloud.hanju,360,15,3,6,1,6,0,0,0,0,1,,,,['READ_PHONE_STATE'],-1,-1
com.baihe,360,14,8,6,1,5,1,0,0,1,0,['GET_TASKS'],,['READ_PHONE_STATE'],,-1,-1
com.bilibili.fgo.qihoo,360,10,1,2,0,2,0,0,0,0,0,,,,,-1,-1
com.by.butter.camera,360,16,4,3,0,3,0,0,0,0,0,,,,,-1,-1
com.cambly.cambly,360,14,7,6,0,6,0,0,0,0,0,,,,,-1,-1
com.campmobile.snowcamera,360,15,7,4,3,4,0,2,0,1,0,,,['READ_PHONE_STATE'],,-1,-1
com.chaoxing.mobile,360,18,6,2,0,1,1,0,0,0,0,['GET_TASKS'],,,,-1,-1
com.chaozh.iReader.dj.speed,360,17,9,15,1,15,0,1,0,0,0,,,,,-1,-1
com.chunyuqiufeng.gaozhongapp,360,10,4,4,1,4,0,0,0,1,0,,,['READ_PHONE_STATE'],,-1,-1
com.codoon.gps,360,28,14,9,3,9,0,2,0,1,0,,,['READ_PHONE_STATE'],,-1,-1
com.cyp.fm,360,5,4,4,1,3,1,0,0,0,1,['GET_TASKS'],,,['READ_PHONE_STATE'],-1,-1
com.didapinche.booking,360,20,7,3,1,3,0,0,0,1,0,,,['READ_PHONE_STATE'],,-1,-1
com.diyidan,360,16,7,5,1,5,0,0,0,1,0,,,['READ_PHONE_STATE'],,-1,-1
com.ds.file,360,6,4,4,1,3,1,0,0,0,1,['GET_TASKS'],,,['READ_PHONE_STATE'],-1,-1
com.duowan.mobile,360,25,10,10,3,10,0,3,0,0,0,,,,,-1,-1
com.eagersoft.youzy.youzy,360,14,5,5,1,5,0,0,0,1,0,,,['READ_PHONE_STATE'],,-1,-1
com.evideo.MobileKTV,360,16,7,6,3,6,0,1,0,2,0,,,"['READ_PHONE_STATE', 'ACCESS_COARSE_LOCATION']",,-1,-1
com.fenzotech.jimu,360,17,7,5,0,4,1,0,0,0,0,['GET_TASKS'],,,,-1,-1
com.flyfish.supermario,360,24,12,6,2,6,0,0,0,2,0,,,"['READ_PHONE_STATE', 'ACCESS_FINE_LOCATION']",,-1,-1
com.fm.aiyinsitan,360,17,8,7,1,7,0,1,0,0,0,,,,,-1,-1
com.gamestar.perfectpiano,360,13,7,6,0,6,0,0,0,0,0,,,,,-1,-1
com.gift.android,360,10,8,3,0,3,0,0,0,0,0,,,,,-1,-1
com.gotokeep.keep,360,21,10,8,1,5,3,0,0,1,0,"['USE_FINGERPRINT', 'USE_BIOMETRIC', 'GET_TASKS']",,['READ_PHONE_STATE'],,-1,-1
com.greenline.guahao,360,19,7,5,0,5,0,0,0,0,0,,,,,-1,-1
com.guandan,360,12,6,2,0,2,0,0,0,0,0,,,,,-1,-1
com.hexin.plat.android,360,23,9,6,0,6,0,0,0,0,0,,,,,-1,-1
com.hipu.yidian,360,17,5,7,1,7,0,0,0,1,0,,,['READ_PHONE_STATE'],,-1,-1
com.hlg.daydaytobusiness,360,13,7,2,0,2,0,0,0,0,0,,,,,-1,-1
com.hopeweather.mach,360,19,7,17,3,17,0,2,0,1,0,,,['READ_PHONE_STATE'],,-1,-1
com.ihaozhuo.youjiankang,360,20,11,7,1,7,0,0,0,1,0,,,['READ_PHONE_STATE'],,-1,-1
com.ihuman.imath,360,12,3,4,0,4,0,0,0,0,0,,,,,-1,-1
com.immomo.momo,360,19,9,8,2,7,1,2,0,0,0,['ACCESS_LOCATION_EXTRA_COMMANDS'],,,,-1,-1
com.imusic.iting,360,9,3,0,0,0,0,0,0,0,0,,,,,-1,-1
com.infothinker.gzmetro,360,13,6,0,0,0,0,0,0,0,0,,,,,-1,-1
com.joygames.shqz.qihu,360,16,4,5,1,5,0,0,0,0,1,,,,['READ_PHONE_STATE'],-1,-1
com.jujing.ncm,360,3,5,0,0,0,0,0,0,0,0,,,,,-1,-1
com.jzzs.ParentsHelper,360,12,3,4,0,4,0,0,0,0,0,,,,,-1,-1
