Package Name,Source,Declared Install-time,Declared Runtime,Droidbot Install-time,Droidbot Runtime,(0) Install-time Normal,(1) IND,(0) Runtime Normal,(1) RND,(2) NR,(3) RNDNR,(1) IND Permissions,(1) RND Permissions,(2) NR Permissions,(3) RNDNR Permissions,MinVersion,TargetVersion
a.baozouptu,huawei_appgallery,10,5,7,0,7,0,0,0,0,0,,,,,-1,-1
accurateweather.weather.forecast,huawei_appgallery,12,5,5,2,4,1,2,0,0,0,['GET_TASKS'],,,,-1,-1
c.plus.plan.dresshome,huawei_appgallery,8,4,6,2,5,1,2,0,0,0,['GET_TASKS'],,,,-1,-1
cc.forestapp.huawei,huawei_appgallery,14,2,6,0,6,0,0,0,0,0,,,,,-1,-1
cc.tomato.calendar,huawei_appgallery,15,8,4,1,4,0,1,0,0,0,,,,,-1,-1
com.agoda.mobile.consumer,huawei_appgallery,13,8,7,1,6,1,0,0,1,0,['GET_TASKS'],,['READ_PHONE_STATE'],,-1,-1
com.alibaba.wireless,huawei_appgallery,29,9,7,1,7,0,0,0,1,0,,,['READ_PHONE_STATE'],,-1,-1
com.allrecipe.tomatorecipes,huawei_appgallery,4,0,1,0,1,0,0,0,0,0,,,,,-1,-1
com.androapp.weatherforecast,huawei_appgallery,3,0,1,0,1,0,0,0,0,0,,,,,-1,-1
com.arata1972.sushiro,huawei_appgallery,9,5,5,2,4,1,2,0,0,0,['GET_TASKS'],,,,-1,-1
com.baidu.baijia,huawei_appgallery,21,7,3,1,3,0,0,0,1,0,,,['READ_PHONE_STATE'],,-1,-1
com.benqu.wuta,huawei_appgallery,18,8,1,0,1,0,0,0,0,0,,,,,-1,-1
com.braintrivia.music.musicdownloader,huawei_appgallery,9,2,5,0,4,1,0,0,0,0,['GET_TASKS'],,,,-1,-1
com.cambly.cambly,huawei_appgallery,16,7,6,0,6,0,0,0,0,0,,,,,-1,-1
com.chokeir.currencyconverter,huawei_appgallery,2,0,3,0,2,1,0,0,0,0,['GET_TASKS'],,,,-1,-1
com.colouringbook.dragoncoloringgame,huawei_appgallery,5,2,3,2,2,1,2,0,0,0,['GET_TASKS'],,,,-1,-1
com.consumerug,huawei_appgallery,7,4,3,0,3,0,0,0,0,0,,,,,-1,-1
com.dingle.voice,huawei_appgallery,3,5,3,0,2,1,0,0,0,0,['GET_TASKS'],,,,-1,-1
com.galileods.currencyconverter.all,huawei_appgallery,6,0,4,0,3,1,0,0,0,0,['GET_TASKS'],,,,-1,-1
com.geekapp.record,huawei_appgallery,11,4,6,4,6,0,3,0,1,0,,,['READ_PHONE_STATE'],,-1,-1
com.generator.invoices,huawei_appgallery,8,1,3,0,2,1,0,0,0,0,['GET_TASKS'],,,,-1,-1
com.global.foodpanda.android,huawei_appgallery,14,7,6,2,5,1,2,0,0,0,['GET_TASKS'],,,,-1,-1
com.gomini.gominipassenger,huawei_appgallery,11,5,5,2,4,1,2,0,0,0,['GET_TASKS'],,,,-1,-1
com.haochang.party,huawei_appgallery,21,8,5,3,5,0,3,0,0,0,,,,,-1,-1
com.hb.dialer.free,huawei_appgallery,16,15,4,12,4,0,11,0,1,0,,,['READ_PHONE_STATE'],,-1,-1
com.hsv.freeadblockerbrowser,huawei_appgallery,25,8,11,4,10,1,3,0,1,0,['GET_TASKS'],,['CAMERA'],,-1,-1
com.huami.watch.hmwatchmanager,huawei_appgallery,19,17,5,0,5,0,0,0,0,0,,,,,-1,-1
com.huawei.health,huawei_appgallery,21,18,8,2,7,1,2,0,0,0,['GET_TASKS'],,,,-1,-1
com.huawei.welink,huawei_appgallery,23,10,5,0,5,0,0,0,0,0,,,,,-1,-1
com.hunantv.imgo.activity.inter,huawei_appgallery,17,3,9,5,9,0,2,2,1,0,,"['READ_PHONE_STATE', 'ACCESS_COARSE_LOCATION']",['CAMERA'],,-1,-1
com.ihach.alnagmeypo,huawei_appgallery,11,3,5,0,4,1,0,0,0,0,['GET_TASKS'],,,,-1,-1
com.ironmeta.security.turbo.proxy.vpntomato.pro,huawei_appgallery,16,0,3,0,3,0,0,0,0,0,,,,,-1,-1
com.jideos.jnotes.overseas.hw,huawei_appgallery,15,9,7,2,6,1,2,0,0,0,['GET_TASKS'],,,,-1,-1
com.kinggames.couplelife.huawei,huawei_appgallery,12,5,5,1,5,0,0,0,1,0,,,['CAMERA'],,-1,-1
com.klook,huawei_appgallery,11,5,10,3,6,4,1,0,1,1,"['GET_TASKS', 'CHANGE_WIFI_STATE', 'BLUETOOTH_ADMIN', 'ACCESS_LOCATION_EXTRA_COMMANDS']",,['ACCESS_COARSE_LOCATION'],['READ_PHONE_STATE'],21,31
