Package Name,Source,Declared Install-time,Declared Runtime,Droidbot Install-time,Droidbot Runtime,(0) Install-time Normal,(1) IND,(0) Runtime Normal,(1) RND,(2) NR,(3) RNDNR,(1) IND Permissions,(1) RND Permissions,(2) NR Permissions,(3) RNDNR Permissions,MinVersion,TargetVersion
com.moji.mjweather,wandoujia,24,7,12,3,12,0,2,0,1,0,,,['READ_PHONE_STATE'],,-1,-1
com.mubite.wxditu,wandoujia,8,4,2,0,2,0,0,0,0,0,,,,,-1,-1
com.netease.newsreader.activity,wandoujia,20,9,7,2,7,0,1,0,1,0,,,['READ_PHONE_STATE'],,-1,-1
com.ntyy.accounting.carefree,wandoujia,10,5,2,0,2,0,0,0,0,0,,,,,-1,-1
com.opeacock.hearing,wandoujia,13,7,1,0,1,0,0,0,0,0,,,,,-1,-1
com.pagoda.buy,wandoujia,15,6,2,0,1,1,0,0,0,0,['GET_TASKS'],,,,-1,-1
com.pandadoctor.pedi,wandoujia,17,7,6,1,6,0,0,0,1,0,,,['READ_PHONE_STATE'],,-1,-1
com.qijin189.huosuapp,wandoujia,13,7,3,1,3,0,1,0,0,0,,,,,-1,-1
com.qingding.customer,wandoujia,10,8,5,0,4,1,0,0,0,0,['GET_TASKS'],,,,-1,-1
com.quanleimu.activity,wandoujia,16,9,0,0,0,0,0,0,0,0,,,,,-1,-1
com.Qunar,wandoujia,18,10,5,1,5,0,0,0,1,0,,,['CAMERA'],,-1,-1
com.rollingbeast,wandoujia,13,7,2,0,2,0,0,0,0,0,,,,,-1,-1
com.romance.speechtech,wandoujia,4,2,2,0,2,0,0,0,0,0,,,,,-1,-1
com.rt.market.fresh,wandoujia,11,5,0,0,0,0,0,0,0,0,,,,,-1,-1
com.ruanmei.ithome,wandoujia,12,5,4,3,4,0,2,0,0,1,,,,['READ_PHONE_STATE'],-1,-1
com.runbio.ovulation.app,wandoujia,8,4,5,4,5,0,2,2,0,0,,"['ACCESS_COARSE_LOCATION', 'ACCESS_FINE_LOCATION']",,,-1,-1
com.runde.khs,wandoujia,13,6,6,0,6,0,0,0,0,0,,,,,-1,-1
com.s20cxq.electricianexamination,wandoujia,13,8,4,0,4,0,0,0,0,0,,,,,-1,-1
com.sankuai.meituan.takeoutnew,wandoujia,16,10,7,2,6,1,2,0,0,0,['GET_TASKS'],,,,-1,-1
com.security.xinan,wandoujia,19,9,4,0,4,0,0,0,0,0,,,,,-1,-1
com.shanbay.sentence,wandoujia,11,7,4,0,4,0,0,0,0,0,,,,,-1,-1
com.sohu.sohuvideo,wandoujia,22,10,4,0,4,0,0,0,0,0,,,,,-1,-1
com.suddenfix.customer,wandoujia,10,10,5,0,4,1,0,0,0,0,['GET_TASKS'],,,,-1,-1
com.syezon.note_xh,wandoujia,9,6,8,3,7,1,3,0,0,0,['GET_TASKS'],,,,-1,-1
com.sythealth.fitness,wandoujia,16,7,7,3,6,1,2,0,1,0,['GET_TASKS'],,['READ_PHONE_STATE'],,-1,-1
com.taobao.trip,wandoujia,26,9,7,1,7,0,0,0,1,0,,,['READ_PHONE_STATE'],,-1,-1
com.tencent.edu,wandoujia,17,7,5,0,4,1,0,0,0,0,['GET_TASKS'],,,,-1,-1
com.tencent.map,wandoujia,23,6,10,3,10,0,3,0,0,0,,,,,-1,-1
com.tencent.mobileqq,wandoujia,33,11,8,0,8,0,0,0,0,0,,,,,-1,-1
com.tencent.wetype,wandoujia,6,1,2,0,1,1,0,0,0,0,['GET_TASKS'],,,,-1,-1
com.tianyancha.skyeye,wandoujia,9,9,6,1,5,1,0,0,1,0,['BLUETOOTH'],,['READ_PHONE_STATE'],,-1,-1
com.tianyueapp.diary,wandoujia,7,4,2,0,2,0,0,0,0,0,,,,,-1,-1
com.tjntkj.bxsjdw,wandoujia,10,4,3,0,3,0,0,0,0,0,,,,,-1,-1
com.tom.tomnews,wandoujia,5,2,2,0,2,0,0,0,0,0,,,,,-1,-1
com.topgether.sixfoot,wandoujia,15,7,5,3,5,0,2,0,1,0,,,['CAMERA'],,-1,-1
com.touchtech.baniword,wandoujia,1,0,0,0,0,0,0,0,0,0,,,,,-1,-1
com.touchtech.klCake,wandoujia,2,0,0,0,0,0,0,0,0,0,,,,,-1,-1
com.touchtv.huilai,wandoujia,17,8,4,0,4,0,0,0,0,0,,,,,-1,-1
com.touchtv.leizhou,wandoujia,17,8,4,0,4,0,0,0,0,0,,,,,-1,-1
com.ttjoke.activity,wandoujia,13,6,5,1,5,0,0,0,1,0,,,['READ_PHONE_STATE'],,-1,-1
com.tujia.hotel,wandoujia,19,6,3,1,3,0,0,0,0,1,,,,['READ_PHONE_STATE'],-1,-1
com.vanke.activity,wandoujia,19,10,7,1,7,0,1,0,0,0,,,,,-1,-1
com.weiguanli.minioa,wandoujia,13,9,4,0,4,0,0,0,0,0,,,,,-1,-1
com.weiman.cucumber,wandoujia,17,5,5,0,5,0,0,0,0,0,,,,,-1,-1
com.wepie.weplay,wandoujia,14,7,1,0,1,0,0,0,0,0,,,,,-1,-1
com.wordtiger.preedu,wandoujia,3,0,1,0,1,0,0,0,0,0,,,,,-1,-1
com.woshuoniji.notepad,wandoujia,12,4,1,0,1,0,0,0,0,0,,,,,-1,-1
com.wudaokou.hippo,wandoujia,18,7,7,4,7,0,3,0,1,0,,,['READ_PHONE_STATE'],,-1,-1
com.xbxxhz.box,wandoujia,16,7,2,0,2,0,0,0,0,0,,,,,-1,-1
com.xiachufang,wandoujia,11,5,4,0,4,0,0,0,0,0,,,,,-1,-1
com.xiaomi.hm.health,wandoujia,23,14,3,0,3,0,0,0,0,0,,,,,-1,-1
com.xm.shunmiao,wandoujia,10,4,4,4,3,1,3,0,1,0,['GET_TASKS'],,['READ_PHONE_STATE'],,-1,-1
com.xs.fm,wandoujia,22,12,4,0,4,0,0,0,0,0,,,,,-1,-1
com.xt.retouch,wandoujia,11,3,4,3,3,1,2,0,0,1,['GET_TASKS'],,,['READ_PHONE_STATE'],-1,-1
com.xtuone.android.syllabus,wandoujia,20,8,6,0,6,0,0,0,0,0,,,,,-1,-1
com.xuesaieducation.jijin,wandoujia,8,4,3,0,2,1,0,0,0,0,['GET_TASKS'],,,,-1,-1
com.xuesaieducation.tongxin,wandoujia,9,4,2,0,1,1,0,0,0,0,['GET_TASKS'],,,,-1,-1
com.xunjoy.zhuqu.city.consumer,wandoujia,11,7,3,0,3,0,0,0,0,0,,,,,-1,-1
com.yangchong.user,wandoujia,12,10,5,1,5,0,0,0,1,0,,,['READ_PHONE_STATE'],,-1,-1
com.yaya.zone,wandoujia,15,10,7,3,7,0,3,0,0,0,,,,,-1,-1
com.yc.wanjia,wandoujia,7,5,3,0,3,0,0,0,0,0,,,,,-1,-1
com.yconcd.zcky,wandoujia,5,2,2,0,2,0,0,0,0,0,,,,,-1,-1
com.yelong.zhongyaodaquan,wandoujia,12,6,3,0,3,0,0,0,0,0,,,,,-1,-1
com.yhihc.AIniitaAPlus,wandoujia,5,5,4,1,4,0,1,0,0,0,,,,,-1,-1
com.yhihc.AIniita,wandoujia,4,3,3,0,3,0,0,0,0,0,,,,,-1,-1
com.yiban1314.yiban,wandoujia,8,4,4,0,3,1,0,0,0,0,['GET_TASKS'],,,,-1,-1
com.yiyou.german,wandoujia,4,5,2,0,2,0,0,0,0,0,,,,,-1,-1
com.yuanli.picturebookplanet,wandoujia,4,4,2,1,2,0,0,0,1,0,,,['READ_PHONE_STATE'],,-1,-1
com.yuanli.simplerecipes,wandoujia,6,3,3,1,2,1,0,0,1,0,['GET_TASKS'],,['READ_PHONE_STATE'],,-1,-1
com.yuedong.sport,wandoujia,28,11,5,0,5,0,0,0,0,0,,,,,-1,-1
com.zhugezhaofang,wandoujia,19,8,3,0,3,0,0,0,0,0,,,,,-1,-1
com.zhuifeng.llyyfyg,wandoujia,8,7,4,5,4,0,4,0,1,0,,,['RECORD_AUDIO'],,-1,-1
com.ziroom.ziroomcustomer,wandoujia,30,10,1,0,1,0,0,0,0,0,,,,,-1,-1
com.zmy.hc.healthycommunity_app,wandoujia,14,9,5,0,5,0,0,0,0,0,,,,,-1,-1
com.zsw.sjdtdh,wandoujia,8,5,2,0,2,0,0,0,0,0,,,,,-1,-1
ctrip.android.view,wandoujia,20,10,8,2,7,1,2,0,0,0,['GET_TASKS'],,,,-1,-1
ej.easyjoy.easynote.cn,wandoujia,16,12,8,2,8,0,1,1,0,0,,['NOTIFICATION_SERVICE'],,,-1,-1
game.miplus.handwriting,wandoujia,11,6,6,0,6,0,0,0,0,0,,,,,-1,-1
game.miplus.novel,wandoujia,7,6,6,1,6,0,0,0,1,0,,,['READ_PHONE_STATE'],,-1,-1
im.weshine.keyboard,wandoujia,17,4,14,0,14,0,0,0,0,0,,,,,-1,-1
info.bmstore.yjzjgcs,wandoujia,3,0,1,0,1,0,0,0,0,0,,,,,-1,-1
info.scmjc.zjyhcy,wandoujia,3,0,1,0,1,0,0,0,0,0,,,,,-1,-1
kaiyyb1.zuowen,wandoujia,6,5,5,1,5,0,0,0,1,0,,,['READ_PHONE_STATE'],,-1,-1
me.ele,wandoujia,14,10,8,4,7,1,3,0,1,0,['BLUETOOTH'],,['READ_PHONE_STATE'],,-1,-1
net.xinhuamm.d0724,wandoujia,12,7,6,4,6,0,3,0,1,0,,,['READ_PHONE_STATE'],,-1,-1
org.fjwx.lanlanjizhang,wandoujia,3,3,3,0,2,1,0,0,0,0,['GET_TASKS'],,,,-1,-1
pl.mobiem.linijka,wandoujia,7,5,4,4,3,1,3,0,0,1,['GET_TASKS'],,,['READ_PHONE_STATE'],-1,-1
popularize.android.ys.com.code,wandoujia,15,10,7,1,5,2,0,0,1,0,"['KILL_BACKGROUND_PROCESSES', 'RESTART_PACKAGES']",,['READ_PHONE_STATE'],,-1,-1
protect.eye,wandoujia,8,4,3,1,3,0,1,0,0,0,,,,,-1,-1
sjz.cn.bill.dman,wandoujia,15,11,1,0,1,0,0,0,0,0,,,,,-1,-1
tv.danmaku.bili,wandoujia,20,9,8,1,8,0,0,0,1,0,,,['READ_PHONE_STATE'],,-1,-1
