Package Name,Source,Declared Install-time,Declared Runtime,Droidbot Install-time,Droidbot Runtime,(0) Install-time Normal,(1) IND,(0) Runtime Normal,(1) RND,(2) NR,(3) RNDNR,(1) IND Permissions,(1) RND Permissions,(2) NR Permissions,(3) RNDNR Permissions,MinVersion,TargetVersion
ai.chat.pro.plus.smart.chatbot.ai.writing.tool,google_play,6,1,2,1,2,0,1,0,0,0,,,,,-1,-1
air.nn.mobile.app.main,google_play,10,0,4,0,3,1,0,0,0,0,['GET_TASKS'],,,,-1,-1
app.babify.tracker,google_play,7,0,2,0,2,0,0,0,0,0,,,,,-1,-1
com.advancevoicerecorder.recordaudio,google_play,10,3,6,0,5,1,0,0,0,0,['GET_TASKS'],,,,-1,-1
com.agoda.mobile.consumer,google_play,12,7,7,1,6,1,0,0,0,1,['GET_TASKS'],,,['READ_PHONE_STATE'],-1,-1
com.airvisual,google_play,16,5,4,0,4,0,0,0,0,0,,,,,-1,-1
com.AlexNaronov.LD,google_play,9,0,5,0,4,1,0,0,0,0,['GET_TASKS'],,,,-1,-1
com.alltrails.alltrails,google_play,12,4,8,2,7,1,2,0,0,0,['GET_TASKS'],,,,-1,-1
com.amila.parenting,google_play,10,0,4,0,3,1,0,0,0,0,['GET_TASKS'],,,,-1,-1
com.anacc2362193621.OneDo,google_play,11,4,4,0,3,1,0,0,0,0,['GET_TASKS'],,,,-1,-1
com.appli_ne.mirror,google_play,8,3,5,2,4,1,2,0,0,0,['GET_TASKS'],,,,-1,-1
com.armutyus.ninova,google_play,5,1,2,0,2,0,0,0,0,0,,,,,-1,-1
com.babysparks.babysparks,google_play,12,6,4,0,4,0,0,0,0,0,,,,,-1,-1
com.binaryguilt.completemusicreadingtrainer,google_play,11,4,6,0,5,1,0,0,0,0,['DOWNLOAD_WITHOUT_NOTIFICATION'],,,,-1,-1
com.bluesignum.little_lighthouse,google_play,10,1,4,1,3,1,0,0,0,1,['GET_TASKS'],,,['CAMERA'],-1,-1
com.bunpoapp,google_play,11,3,4,2,3,1,2,0,0,0,['GET_TASKS'],,,,-1,-1
com.callsifutwuser,google_play,10,6,4,1,4,0,1,0,0,0,,,,,-1,-1
com.cambly.cambly,google_play,12,5,4,0,3,1,0,0,0,0,['GET_TASKS'],,,,-1,-1
com.cmoney.superdaytraderk,google_play,12,3,6,0,5,1,0,0,0,0,['GET_TASKS'],,,,-1,-1
com.coupang.mobile.lightspeed,google_play,15,7,4,0,3,1,0,0,0,0,['GET_TASKS'],,,,-1,-1
com.creedcps.creedcps,google_play,8,0,3,0,3,0,0,0,0,0,,,,,-1,-1
com.dailylife.communication,google_play,12,4,5,0,4,1,0,0,0,0,['GET_TASKS'],,,,-1,-1
com.depop,google_play,12,9,4,0,3,1,0,0,0,0,['GET_TASKS'],,,,-1,-1
com.devilinspired.application,google_play,8,6,5,0,5,0,0,0,0,0,,,,,-1,-1
com.DigiJello.PokerFantasy,google_play,10,3,4,0,4,0,0,0,0,0,,,,,-1,-1
com.downdogapp,google_play,8,0,4,0,3,1,0,0,0,0,['ACCESS_WIFI_STATE'],,,,-1,-1
com.eatthismuch,google_play,8,1,2,0,2,0,0,0,0,0,,,,,-1,-1
com.economist.lamarr,google_play,15,2,11,0,9,2,0,0,0,0,"['GET_TASKS', 'MODIFY_AUDIO_SETTINGS']",,,,-1,-1
com.elephantgames.csyhiddenobjects.googpremium,google_play,11,2,4,2,4,0,2,0,0,0,,,,,-1,-1
com.Fashion.Nail.Salon.Game.Manicure.And.Pedicure.App.Vex,google_play,7,0,4,0,3,1,0,0,0,0,['GET_TASKS'],,,,-1,-1
