Abnormal Permissions,Label,Source,Package,API,Call stack,Library,Library Class
CAMERA,NR,360,com.lemon.faceu,getCameraInfo,com.lemon.faceu.core.camera.m.onCreateView,app,app
READ_PHONE_STATE,RNDNR,360,com.lemon.faceu,getRunningAppProcesses,com.bytedance.common.wschannel.WsChannelMultiProcessSharedProvider.attachInfo,,
READ_PHONE_STATE,RNDNR,360,com.lemon.faceu,getSubscriberId,ms.bd.c.k.b,,
READ_PHONE_STATE,NR,360,com.lezhi.meitubao,,
READ_PHONE_STATE,RNDNR,360,com.lianaibiji.dev,getRunningAppProcesses,com.lianaibiji.dev.ui.dialog.LNPrivacyFragment.onClick,app,app
READ_PHONE_STATE,NR,360,com.meitu.meiyancamera,,
READ_PHONE_STATE,NR,360,com.meta.box,,
ACCESS_COARSE_LOCATION,NR,360,com.mfw.roadbook,getCellLocation,com.loc.d$b.run,,
ACCESS_COARSE_LOCATION,NR,360,com.mfw.roadbook,getAllCellInfo,com.loc.d$b.run,,
BLUETOOTH_ADMIN,IND,360,com.mfw.roadbook,startDiscovery,cn.shuzilm.core.g.run,,
READ_PHONE_STATE,NR,360,com.mfw.roadbook,,
READ_PHONE_STATE,NR,360,com.mianfeizs.book,getRunningAppProcesses,com.chineseall.reader.ui.dialog.UserTrustDialog.onClick,,
READ_PHONE_STATE,NR,360,com.mianfeizs.book,getSubscriberId,com.chineseall.ads.p.run,ChineseAll Advertising Services,Ad
READ_PHONE_STATE,NR,360,com.mobbanana.sll.wbyz.qihoo,getRunningAppProcesses,,,
READ_PHONE_STATE,NR,360,com.MobileTicket,getRunningAppProcesses,com.alipay.mobile.framework.app.ui.ActivityHelper$4.run,Alipay Mobile,Digital Wallet
READ_PHONE_STATE,NR,360,com.MobileTicket,getSubscriberId,com.alipay.mobile.common.info.DeviceInfo$2.run,Alipay Mobile,Digital Wallet
READ_PHONE_STATE,NR,360,com.moji.mjweather,getRunningAppProcesses,com.moji.push.MJPushService.onStartCommand,,
CAMERA,NR,360,com.mt.mtxx.mtxx,getCameraInfo,com.meitu.app.init.y.run,,
READ_PHONE_STATE,NR,360,com.mt.mtxx.mtxx,,
READ_PHONE_STATE,NR,360,com.myzaker.ZAKER_Phone,getRunningAppProcesses,com.myzaker.ZAKER_Phone.view.boxview.AppPrivateInfoDialogFragment$1.onClick,app,app
