Abnormal Permissions,Label,Source,Package,API,Call stack,Library,Library Class
ACCESS_WIFI_STATE,IND,360,ai.zuoye.shijuanbao,getWifiState,,,
ACCESS_WIFI_STATE,IND,360,ai.zuoye.shijuanbao,getConnectionInfo,t8.a$a.run,,
ACCESS_WIFI_STATE,IND,360,ai.zuoye.shijuanbao,getConnectionInfo,u5.l$b.run,,
READ_PHONE_STATE,RNDNR,360,ai.zuoye.shijuanbao,,
READ_PHONE_STATE,NR,360,cn.eagri.measurement,,
READ_PHONE_STATE,NR,360,cn.kuwo.tingshu,getRunningAppProcesses,cn.kuwo.player.App.onCreate,,
READ_PHONE_STATE,NR,360,cn.kuwo.tingshu,getRunningAppProcesses,cn.kuwo.tingshu.util.y$3.onClick,app,app
READ_PHONE_STATE,NR,360,cn.kuwo.tingshu,getSubscriberId,com.tencent.smtt.sdk.aj.handleMessage,Tencent TBS SDK,WebView
READ_PHONE_STATE,NR,360,cn.kuwo.tingshu,getRunningAppProcesses,cn.kuwo.a.a.c$b.run,,
READ_PHONE_STATE,NR,360,cn.kuwo.tingshu,getRunningAppProcesses,cn.kuwo.mod.push.PushService.onCreate,,
READ_PHONE_STATE,NR,360,cn.kuwo.tingshu,getRunningAppProcesses,cn.kuwo.service.remote.RemoteService.onCreate,,
READ_PHONE_STATE,NR,360,cn.kuwo.tingshu,getRunningAppProcesses,cn.kuwo.player.activities.MainActivity.onCreate,,
READ_PHONE_STATE,NR,360,cn.kuwo.tingshu,getSubscriberId,com.sina.weibo.sdk.utils.AidTask$2.run,weibo_android_sdk,Utility
READ_PHONE_STATE,NR,360,cn.kuwo.tingshu,getRunningAppProcesses,cn.kuwo.tingshu.utils.b.c$1.run,app,app
READ_PHONE_STATE,NR,360,cn.kuwo.tingshu,getRunningAppProcesses,com.umeng.message.proguard.ai$2.run,Push SDK,Push Service
READ_PHONE_STATE,NR,360,cn.kuwo.tingshu,getRunningAppProcesses,com.qq.e.tg.splash.TGSplashPreloader$1.run,,
READ_PHONE_STATE,NR,360,cn.kuwo.tingshu,getRunningAppProcesses,com.qq.e.comm.a$1.run,优�?�?SDK,Ad
READ_PHONE_STATE,NR,360,cn.kuwo.tingshu,getRunningAppProcesses,com.qq.e.comm.a$3.run,优�?�?SDK,Ad
READ_PHONE_STATE,NR,360,cn.kuwo.tingshu,getRunningAppProcesses,com.taobao.accs.base.BaseService$3.run,EMAS,Utility
READ_PHONE_STATE,NR,360,cn.kuwo.tingshu,getRunningAppProcesses,cn.kuwo.mod.push.PushHandler.handleMessage,,
READ_PHONE_STATE,NR,360,cn.kuwo.tingshu,getSubscriberId,com.tencent.smtt.sdk.WebView.onVisibilityChanged,Tencent TBS SDK,WebView
READ_PHONE_STATE,NR,360,cn.kuwo.tingshu,getSubscriberId,cn.kuwo.ui.common.KwTitleBar$2.onClick,,
READ_PHONE_STATE,NR,360,cn.xiaochuankeji.tieba,getRunningAppProcesses,id6$b.run,,
READ_PHONE_STATE,NR,360,cn.xiaochuankeji.tieba,getRunningAppProcesses,cn.izuiyou.coroutine.ZyFlow$c.emit,,
READ_PHONE_STATE,NR,360,cn.xiaochuankeji.tieba,getRunningAppProcesses,com.xiaomi.mipush.sdk.MiPushClient$1.run,Mi Push,Push Service
READ_PHONE_STATE,NR,360,cn.xiaochuankeji.tieba,getRunningAppProcesses,en3$a.run,,
READ_PHONE_STATE,NR,360,cn.xiaochuankeji.tieba,getSubscriberId,com.sina.weibo.sdk.utils.AidTask$2.run,weibo_android_sdk,Utility
READ_PHONE_STATE,NR,360,cn.xiaochuankeji.tieba,getRunningAppProcesses,cn.xiaochuankeji.tieba.AppController.onCreate,app,app
READ_PHONE_STATE,NR,360,cn.xiaochuankeji.tieba,getSubscriberId,com.alibaba.sdk.android.utils.AMSDevReporter$1.run,,
