Keyword, Class, Library, Reference
com.google.android.gms.internal.ads, Ad, Google Mobile Ads, https://developers.google.com/android/reference/com/google/android/gms/ads/package-summary
com.ptg.adsdk, Ad, ptg.adsdk, https://www.didapinche.com/hapis/go/code/1k2BH
com.qihoo.sdkplugging, Game, 360SDK, http://dev.360.cn/wiki/index/id/73
com.qihoo.gamecenter, Game, 360SDK, http://dev.360.cn/wiki/index/id/73
com.chineseall.ads, Ad, ChineseAll Advertising Services,
com.tencent.tinker, Programming, Tencent Tinker hot-fix solution, https://github.com/Tencent/tinker
com.igexin.push, Push Service, Getui_SDK, https://docs.getui.com/getui/mobile/android/androidstudio/
com.ss.android.socialbase.downloader, Utility, 头条网 ?sdk, https://secvery.com/759.html/5
applovin, Ad, AppLovin, https://www.bnext.com.tw/article/62502/applovin-ipo?
tencent.beacon, Analytics, Tencent Beacon, https://www.tencentcloud.com/document/product/436/12159
taobao.wireless, E-commerce, 百川SDK, https://developer.alibaba.com/docs/doc.htm?treeId=129&articleId=118697&docType=1
com.tencent.klevin, Ad, 游可贏, https://yky.qq.com/doc/android/android-install/
com.tendcloud.tenddata, Analytics, TalkingData App Analytics, https://doc.talkingdata.com/posts/21
com.shubao.xinstallunisdk, Analytics, Xinstall-DCloud-uniapp-SDK, https://cftweb.3g.qq.com/privacy/privacyPolicy?content_id=68896df3e0d5deb7627e0c483a45ddc8
chineseall.reader, Utility, chineseall,
together.coresdk, Analytics, together, https://cftweb.3g.qq.com/privacy/privacyPolicy?content_id=86daa5abea3c66416fa9f8e8cddf6305
com.ishumei.smantifraud, Anti-Fraud, ishumei, https://help.ishumei.com/docs/tw/sdk/overview
538 com.ttjoke.activity,,,
