09-02 17:47:23.925  5877  6413 I LSPosed-Bridge: 	at LSPHooker_.getCellLocation(Unknown Source:8)

09-02 17:47:23.925  5877  6413 I LSPosed-Bridge: 	at c.t.m.g.fi.a(TL:95)

09-02 17:47:23.925  5877  6413 I LSPosed-Bridge: 	at c.t.m.g.er$a.a(TL:285)

09-02 17:47:23.925  5877  6413 I LSPosed-Bridge: 	at c.t.m.g.er$a.handleMessage(TL:248)

09-02 17:47:23.925  5877  6413 I LSPosed-Bridge: 	at android.os.Handler.dispatchMessage(Handler.java:106)

09-02 17:47:23.925  5877  6413 I LSPosed-Bridge: 	at android.os.Looper.loop(Looper.java:193)

09-02 17:47:23.925  5877  6413 I LSPosed-Bridge: 	at android.os.HandlerThread.run(HandlerThread.java:65)

09-02 17:47:23.925  5877  6404 I LSPosed-Bridge: 5877 PermLabel 10127; permName: android.permission.CHANGE_WIFI_STATE; startScan res = null; stacktrace=java.lang.Exception

09-02 17:47:23.925  5877  6404 I LSPosed-Bridge: 	at com.example.permlabel.hookWifi$1.afterHookedMethod(hookWifi.java:36)

09-02 17:47:23.925  5877  6404 I LSPosed-Bridge: 	at de.robv.android.xposed.XposedBridge$AdditionalHookInfo.callback(Unknown Source:147)

09-02 17:47:23.925  5877  6404 I LSPosed-Bridge: 	at LSPHooker_.startScan(Unknown Source:8)

09-02 17:47:23.925  5877  6404 I LSPosed-Bridge: 	at c.t.m.g.fq.b(TL:102)

09-02 17:47:23.925  5877  6404 I LSPosed-Bridge: 	at c.t.m.g.eu.b(TL:335)

09-02 17:47:23.925  5877  6404 I LSPosed-Bridge: 	at c.t.m.g.eu.a(TL:37)

09-02 17:47:23.925  5877  6404 I LSPosed-Bridge: 	at c.t.m.g.eu$1.run(TL:80)

09-02 17:47:23.925  5877  6404 I LSPosed-Bridge: 	at android.os.Handler.handleCallback(Handler.java:873)

09-02 17:47:23.925  5877  6404 I LSPosed-Bridge: 	at android.os.Handler.dispatchMessage(Handler.java:99)

09-02 17:47:23.925  5877  6404 I LSPosed-Bridge: 	at android.os.Looper.loop(Looper.java:193)

09-02 17:47:23.925  5877  6404 I LSPosed-Bridge: 	at android.os.HandlerThread.run(HandlerThread.java:65)

09-02 17:47:23.925  5877  5877 I LSPosed-Bridge: 5877 PermLabel hookBinder_test 10127 interfaceBinder =android.content.pm.IPackageManager; arg0 = 5; arg1 = android.os.Parcel@2c2b098; arg2 = android.os.Parcel@93ada7b; arg3 = 0; res = true; stacktrace=java.lang.Exception

